都府県振興局,観測所番号,種類,観測装置の種類,観測_降水量,観測_気温,観測_風向,観測_風速,観測_相対湿度,観測_日照時間,降雪の深さ,観測所名,カタカナ名,所在地,緯度(度),緯度(分),経度(度),経度(分),海面上の高さ(ｍ), 風速計の高さ(ｍ),温度計の高さ(ｍ),観測開始年月日,備考1,備考2
岩手,33781,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,江刺,エサシ,奥州市江刺愛宕字八日市,39,11,141,9.7,42,10,2,#1976.11.25,-,Excluding humidity
岩手,33801,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,住田,スミタ,気仙郡住田町世田米字川向,39,8.5,141,34.4,80,10,2,1977.10.20,-,Excluding humidity
岩手,33831,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,祭畤,マツルベ,一関市厳美町祭畤,39,0.7,140,51.9,350,-,-,1975.5.21,33945,-
岩手,33841,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,衣川,コロモガワ,奥州市衣川懸田,39,3,141,2.7,75,-,-,1975.5.25,-,-
岩手,33856,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,大東,ダイトウ,一関市大東町猿沢字上ノ洞,39,2.3,141,17.8,140,-,-,2005.10.18,-,-
岩手,33871,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,陸前高田,リクゼンタカタ,陸前高田市高田町字鳴石地内,39,1.5,141,37.8,61,5.5,-,2011.6.14,-,Temporary observatory
岩手,33877,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,大船渡,オオフナト,大船渡市大船渡町字赤沢_大船渡特別地域気象観測所,39,3.8,141,42.8,37,22.2,-,#1990.3.15,33947,-
岩手,33911,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,一関,イチノセキ,一関市竹山町,38,56,141,7.5,32,10,2,#1976.2.15,33950,-
岩手,33921,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,千厩,センマヤ,一関市千厩町千厩字北方,38,55.3,141,19.8,120,10,2,#1976.11.27,-,Excluding humidity
宮城,34012,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,駒ノ湯,コマノユ,栗原市栗駒沼倉耕英南,38,54.8,140,49.7,525,6.5,2.5,1976.11.29,34906,Excluding humidity
宮城,34026,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,気仙沼,ケセンヌマ,気仙沼市古町,38,54.4,141,33.4,62,10,1.5,#1976.12.2,-,Excluding humidity
宮城,34056,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,鴬沢,ウグイスザワ,栗原市鶯沢袋宮林,38,48.3,140,56.9,33,-,-,2001.9.27,-,-
宮城,34096,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,川渡,カワタビ,大崎市鳴子温泉字蓬田,38,44.6,140,45.6,170,10,2,1976.12.4,34900,Excluding humidity
宮城,34111,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,築館,ツキダテ,栗原市築館左足下,38,44.1,141,0.3,25,6.5,2.5,#1976.2.23,-,-
宮城,34171,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,米山,ヨネヤマ,登米市米山町西野字的場,38,37.6,141,11.3,5,6.5,2,(1975.5.21)1976.11.30,-,Excluding humidity
宮城,34186,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,志津川,シヅガワ,本吉郡南三陸町志津川字城場,38,40.9,141,26.9,39,10,2,#1976.12.1,-,Excluding humidity
宮城,34206,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,加美,カミ,加美郡加美町味ヶ袋薬莱原,38,34.3,140,43.6,195,-,-,2005.10.21,-,-
宮城,34216,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,古川,フルカワ,大崎市古川大崎字富国,38,35.9,140,54.7,28,6.5,1.5,#1976.12.3,34910,-
宮城,34231,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,桃生,モノウ,石巻市桃生町中津山字江下,38,33.6,141,14.7,5,5.5,-,2011.6.14,-,Temporary observatory
宮城,34241,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,雄勝,オガツ,石巻市雄勝町雄勝字下雄勝,38,31.2,141,27.9,24,-,-,1975.5.13,-,-
宮城,34262,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,泉ケ岳,イズミガダケ,仙台市泉区福岡岳山,38,24.4,140,43.3,630,-,-,2005.10.26,-,-
宮城,34266,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,大衡,オオヒラ,黒川郡大衡村松の平,38,28.4,140,53.3,57,10,1.5,#1976.12.3,-,Excluding humidity
宮城,34276,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,鹿島台,カシマダイ,大崎市鹿島台広長字内の浦,38,27.6,141,5.5,3,10,2,#1976.12.1,-,Excluding humidity
宮城,34286,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,東松島,ヒガシマツシマ,東松島市矢本字大溜,38,25.6,141,12.8,4,5.5,-,2011.6.14,-,Temporary observatory
宮城,34292,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,石巻,イシノマキ,石巻市泉町_石巻特別地域気象観測所,38,25.6,141,17.9,43,28.6,-,1990.1.25,34913,-
宮城,34296,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,女川,オナガワ,牡鹿郡女川町女川浜字大原,38,27.2,141,26.4,35,5.5,1.5,2011.5.13,-,Temporary observatory
宮城,34311,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,新川,ニッカワ,仙台市青葉区新川字清水尻,38,18.2,140,38.2,265,10,2,#1976.11.30,34915,-
宮城,34331,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,塩釜,シオガマ,塩竈市伊保石,38,20.3,141,0.8,105,10,1.5,(1975.5.21)1976.11.30,-,Excluding humidity
宮城,34361,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,江ノ島,エノシマ,牡鹿郡女川町江島字荒藪,38,23.9,141,35.8,40,-,1.5,1978.11.21,-,Air temperature/rain
宮城,34361,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,江ノ島,エノシマ,牡鹿郡女川町江島字荒藪,38,23.8,141,35.8,33,5.4,-,1978.11.21,-, Wind
宮城,34392,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,仙台,センダイ,仙台市宮城野区五輪_仙台管区気象台,38,15.7,140,53.8,39,52.6,-,#1982.3.1,34917,-
宮城,34431,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,岩沼,イワヌマ,岩沼市里の杜,38,6.4,140,52.6,4,-,-,2011.6.14,-,Temporary observatory
宮城,34436,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,名取,ナトリ,名取市下増田字南原_仙台航空測候所,38,8.3,140,55,2,9.7,-,2003.1.1,-,Excluding sunlight/humidity/atmospheric pressure
宮城,34461,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,白石,シロイシ,白石市福岡長袋字湯殿山,38,0.9,140,36.7,86,10,2,#1976.11.25,34920,-
宮城,34462,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,蔵王,ザオウ,刈田郡蔵王町大字平沢字内屋敷,38,7.6,140,40.8,112,6.5,2,2005.10.27,-,-
宮城,34471,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,亘理,ワタリ,亘理郡亘理町字油田,38,1.5,140,51.5,4,10,1.5,#1976.11.29,-,Excluding humidity
宮城,34506,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,丸森,マルモリ,伊具郡丸森町舘矢間舘山字新賢中,37,55.9,140,46.7,18,10,1.5,1977.11.4,-,Excluding humidity
宮城,34526,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,筆甫,ヒッポ,伊具郡丸森町筆甫字和田,37,49.6,140,43.7,305,-,-,1978.11.10,-,-
山形,35002,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,飛島,トビシマ,酒田市飛島字勝浦乙,39,11,139,32.6,58,20.5,1.5,1987.11.10,-,Excluding humidity
山形,35052,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,酒田,サカタ,酒田市亀ケ崎_酒田特別地域気象観測所,38,54.5,139,50.6,3,26.6,-,#1984.2.9,35955,-
山形,35056,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,酒田大沢,サカタオオサワ,酒田市大蕨字二タ子,38,57.9,139,59.9,65,-,-,2017.12.20,-,-
山形,35071,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,差首鍋,サスナベ,最上郡真室川町差首鍋,38,55.1,140,12,88,9,3.5,#1976.11.30,-,Excluding humidity
山形,35086,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,浜中,ハマナカ,酒田市浜中字村東_庄内航空気象観測所,38,48.7,139,47.2,22,10,-,2003.1.1,-,Excluding sunlight/humidity/atmospheric pressure
山形,35116,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,金山,カネヤマ,最上郡金山町金山字本町,38,52.7,140,19.9,170,10,1.5,#1976.11.29,35900,Excluding humidity
山形,35141,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,鶴岡,ツルオカ,鶴岡市錦町,38,44.1,139,49.7,16,6.5,1.5,#1976.12.2,-,-
山形,35146,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,狩川,カリカワ,東田川郡庄内町狩川字矢倉,38,48,139,58.4,17,10,3,#1976.12.2,35905,Excluding humidity
山形,35162,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,新庄,シンジョウ,新庄市東谷地田町_新庄特別地域気象観測所,38,45.4,140,18.7,105,31.6,-,#1985.11.1,35907,-
山形,35171,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,瀬見,セミ,最上郡最上町大堀,38,45.3,140,24.8,150,-,-,#,-,-
山形,35176,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,向町,ムカイマチ,最上郡最上町向町,38,45.5,140,31,212,10,3.5,(1974.12.18)1976.11.26,35950,Excluding humidity
山形,35201,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,櫛引,クシビキ,鶴岡市桂荒俣字上桂,38,40.3,139,50.9,33,-,-,#,35910,-
山形,35216,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,肘折,ヒジオリ,最上郡大蔵村南山,38,36.4,140,9.8,330,8.5,1.5,1976.11.27,35920,Excluding humidity
山形,35231,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,尾花沢,オバナザワ,尾花沢市新町,38,36.5,140,24.7,106,9,2.5,(1975.5.23)1976.3.8,35915,Excluding humidity
山形,35246,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,鼠ケ関,ネズガセキ,鶴岡市鼠ケ関字横路,38,34,139,33.1,18,10,2,(1975.5.23)1976.12.3,-,-
山形,35256,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,荒沢,アラサワ,鶴岡市荒沢字狩籠,38,30.5,139,46.9,272,-,-,1979.4.11,-,-
山形,35332,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,村山,ムラヤマ,村山市大字大久保字寄込,38,27.6,140,20.9,80,6.5,1.5,2002.6.4,-,-
山形,35334,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,東根,ヒガシネ,東根市大字羽入字柏原新林_山形航空気象観測所,38,24.7,140,22.2,105,10,-,2003.1.1,-,Excluding sunlight/humidity/atmospheric pressure
山形,35361,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,大井沢,オオイサワ,西村山郡西川町大井沢字中村,38,23.4,139,59.6,440,10,1.5,1978.12.20,35925,Excluding humidity
山形,35376,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,左沢,アテラザワ,西村山郡大江町本郷字下夕原己,38,22.2,140,11.5,133,6.5,2,#1976.12.3,35945,Excluding humidity
山形,35426,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,山形,ヤマガタ,山形市緑町_山形地方気象台,38,15.3,140,20.7,153,14.9,-,#1975.3.17,35927,-
山形,35456,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,長井,ナガイ,長井市平山,38,6.3,140,0.9,210,9,3,#1976.12.10,35930,Excluding humidity
山形,35466,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,上山中山,カミノヤマナカヤマ,上山市中山字壁屋敷,38,7,140,12.8,270,-,-,2005.10.25,-,-
山形,35486,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,小国,オグニ,西置賜郡小国町増岡字下林,38,4.7,139,44.1,140,10,4,#1976.12.8,35935,Excluding humidity
山形,35511,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,高畠,タカハタ,東置賜郡高畠町安久津字加茂川原,38,0.2,140,12.4,220,10,1.5,1976.12.9,-,Excluding humidity
山形,35537,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,中津川,ナカツガワ,西置賜郡飯豊町岩倉,37,54.6,139,50.6,390,-,-,1981.7.1,-,-
山形,35541,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,高峰,タカミネ,西置賜郡飯豊町高峰,37,59.9,139,57.4,250,10.4,1.5,#1976.11.22,-,Excluding humidity
山形,35552,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,米沢,ヨネザワ,米沢市アルカディア,37,54.7,140,8.6,245,9.4,1.5,2005.12.1,35940,Excluding humidity
福島,36056,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,茂庭,モニワ,福島市飯坂町茂庭字滑滝道,37,53.5,140,26.2,200,6.5,3,1992.10.23,36950,Excluding humidity
福島,36066,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,梁川,ヤナガワ,伊達市梁川町粟野字作田,37,51.1,140,35.3,43,9.4,1.5,#1976.12.6,-,Excluding humidity
福島,36081,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,新地,シンチ,相馬郡新地町谷地小屋字樋掛田,37,52.5,140,55.1,10,5.5,-,2011.6.14,-,Temporary observatory
福島,36106,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,桧原,ヒバラ,耶麻郡北塩原村桧原字墓下,37,43.3,140,3.5,824,9.4,4,1978.10.26,-,Excluding humidity
福島,36127,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,福島,フクシマ,福島市松木町_福島地方気象台,37,45.5,140,28.2,67,-,-,2021.3.18,36955,Air temperature/rain/sunshine
福島,36127,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,福島,フクシマ,福島市八島田字琵琶渕,37,46.1,140,26.1,88,12,-,2021.3.18,-, Wind
福島,36151,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,相馬,ソウマ,相馬市成田字五郎右エ門橋,37,47,140,55.5,9,6.5,1.5,#1976.12.7,-,-
福島,36176,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,喜多方,キタカタ,喜多方市字押切,37,39.5,139,51.8,212,10,3.5,#1976.12.13,-,Excluding humidity
福島,36196,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,鷲倉,ワシクラ,福島市土湯温泉町字鷲倉山国有林,37,40.1,140,15.6,1220,6.5,3,1976.11.16,-,Excluding humidity
福島,36221,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,飯舘,イイタテ,相馬郡飯舘村飯樋字笠石,37,39.9,140,43.6,463,10,1.5,1976.12.4,-,Excluding humidity
福島,36231,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,原町,ハラマチ,南相馬市原町区高見町,37,38.3,140,59,17,-,-,#,-,-
福島,36251,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,西会津,ニシアイヅ,耶麻郡西会津町尾野本字樋ノ口原乙,37,35.3,139,39.4,165,10,3.5,(1975.5.21)1976.11.24,36905,Excluding humidity
福島,36276,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,猪苗代,イナワシロ,耶麻郡猪苗代町大字千代田字中島,37,33.1,140,6.5,519,10,3.5,#1976.11.30,36910,Excluding humidity
福島,36291,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,二本松,ニホンマツ,二本松市金色久保,37,35,140,25.8,235,10,1.5,#1976.12.3,-,Excluding humidity
福島,36307,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,津島,ツシマ,双葉郡浪江町下津島字町,37,33.6,140,45.2,400,-,-,1977.3.23,-,-
福島,36342,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,金山,カネヤマ,大沼郡金山町大字中川字沖根原,37,28.4,139,31.7,296,10,4.5,2007.12.19,36921,Excluding humidity
福島,36361,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,若松,ワカマツ,会津若松市材木町_若松特別地域気象観測所,37,29.3,139,54.6,212,19.1,-,#1975.3.17,36923,-
福島,36391,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,船引,フネヒキ,田村市船引町船引字新房院,37,26.1,140,34.6,421,6.5,1.5,#1976.12.2,-,-
福島,36411,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,浪江,ナミエ,双葉郡浪江町川添字北上の原,37,29.5,140,57.9,47,10,1.5,#1976.12.8,-,Excluding humidity
福島,36426,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,只見,タダミ,南会津郡只見町只見字原,37,20.6,139,18.8,377,10.5,4.5,1976.7.20,36915,Excluding humidity
福島,36461,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,湖南,コナン,郡山市湖南町福良字家老,37,23.3,140,5.4,536,-,-,1982.6.18,-,-
福島,36476,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,郡山,コオリヤマ,郡山市安積町成田字東丸山,37,22.1,140,19.8,249,6.5,1.5,#1976.3.12,-,Excluding humidity
福島,36501,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,川内,カワウチ,双葉郡川内村上川内字小山平,37,20.2,140,48.5,410,10,1.5,1976.11.30,-,Excluding humidity
福島,36511,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,富岡,トミオカ,双葉郡富岡町小浜,37,20.8,141,1,50,-,-,#,-,-
福島,36536,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,南郷,ナンゴウ,南会津郡南会津町界字梨木平,37,15.9,139,32.2,494,8,4.5,#1976.11.19,36925,Excluding humidity
福島,36562,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,湯本,ユモト,岩瀬郡天栄村田良尾字持石,37,16.6,140,3.8,646,9.9,2.5,1988.10.5,36945,Excluding humidity
福島,36571,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,長沼,ナガヌマ,須賀川市長沼字町尻,37,17.3,140,13.1,317,-,-,1978.8.8,-,-
福島,36581,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,玉川,タマカワ,石川郡玉川村大字北須釜字はばき田_福島航空気象観測所,37,13.6,140,25.6,372,10,-,2003.1.1,-,Excluding sunlight/humidity/atmospheric pressure
福島,36591,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,小野新町,オノニイマチ,田村郡小野町小野新町字舘廻,37,17.2,140,37.5,433,10,1.5,#1976.12.1,-,Excluding humidity
福島,36597,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,川前,カワマエ,いわき市川前町下桶売字久保田,37,14.8,140,43.4,492,-,-,2014.12.3,-,-
福島,36611,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,広野,ヒロノ,双葉郡広野町下北迫字大谷地原,37,14,141,0,43,10,1.5,(1975.5.22)1976.12.13,-,Excluding humidity
福島,36641,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,田島,タジマ,南会津郡南会津町田島字東下原,37,12.4,139,47.7,544,10,3,#1976.11.18,36935,Excluding humidity
福島,36667,Observations/Special automated weather station,Ground-based meteorological instruments,Y,Y,Y,Y,Y,N,Y,白河,シラカワ,白河市郭内_白河特別地域気象観測所,37,7.9,140,12.9,355,45.3,-,1994.1.28,36937,-
福島,36676,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,石川,イシカワ,石川郡石川町双里字本宮,37,8.8,140,27.6,290,10,1.5,#1976.11.26,-,Excluding humidity
福島,36716,Rainfall/Temprature/Wind/Humidity,Wired robotic meteorological instruments,Y,Y,Y,Y,Y,Y,N,桧枝岐,ヒノエマタ,南会津郡檜枝岐村字上河原,37,0.6,139,22.5,973,10,4.5,1978.10.31,36940,Excluding humidity
福島,36726,Rainfall,Wired robotic rain gauge,Y,N,N,N,N,N,N,舘岩,タテイワ,南会津郡南会津町松戸原,37,5.5,139,31.9,690,-,-,1978.8.9,-,-
福島,36766,Rainfall/Temprature/Wind,Wired robotic meteorological instruments,Y,Y,Y,Y,N,N,N,古殿,フルドノ,石川郡古殿町大字松川字横川,37,5.4,140,33.6,347,5.5,-,2011.6.14,-,Temporary observatory
